Education,Experience_Years,Programming,Python,SQL,Machine_Learning,Cloud,Communication,Leadership,Data_Analysis,Electronics,Networking,Linux,Project_Count,Certifications,Job_Role,Salary_LPA
MBA,5.3,5,6,6,3,4,9,4,9,1,5,2,7,2,Data Analyst,18.85
BCA,1.4,6,7,7,5,3,4,4,4,2,4,3,4,1,Software Developer,13.67
BCA,4.0,8,9,8,8,7,5,5,8,5,2,6,8,1,ML Engineer,21.44
BCA,3.0,10,8,9,10,7,7,3,9,6,6,9,4,1,ML Engineer,19.2
MBA,1.1,8,5,9,4,4,9,6,9,1,2,3,3,0,Data Analyst,15.66
B.Tech,4.1,7,3,3,1,9,6,5,2,4,10,10,7,3,Network Engineer,18.17
B.Sc,0.7,5,7,10,5,3,9,5,10,3,1,6,2,2,Data Analyst,9.49
B.Tech,0.7,6,5,3,3,8,7,3,1,4,8,9,3,1,Network Engineer,10.34
Diploma,1.4,7,4,5,2,5,6,3,9,2,6,7,1,1,Software Developer,10.07
M.Tech,1.8,4,5,7,2,3,9,8,7,1,3,4,2,1,Business Analyst,11.48
MBA,5.1,7,9,8,6,5,6,5,10,1,3,3,6,2,Data Scientist,22.02
Diploma,2.3,7,7,6,3,1,4,5,5,8,6,5,5,3,Embedded Systems Engineer,12.39
B.Sc,3.6,10,5,1,3,5,7,5,5,9,5,5,6,3,Embedded Systems Engineer,16.26
B.Tech,2.7,8,4,1,3,2,7,4,3,7,2,3,6,1,Embedded Systems Engineer,16.26
MBA,1.9,7,10,6,9,6,4,5,8,3,2,5,5,2,Data Scientist,18.16
M.Sc,3.5,7,4,2,4,1,5,1,4,10,4,5,6,3,Embedded Systems Engineer,17.55
B.Tech,3.8,7,9,8,6,8,8,4,7,2,4,4,6,3,Data Scientist,21.69
BCA,6.4,9,3,4,3,2,5,5,3,5,7,6,9,2,Embedded Systems Engineer,19.48
B.Sc,3.4,9,7,8,10,8,9,4,8,2,8,10,6,2,ML Engineer,22.2
M.Tech,4.5,8,9,6,6,9,5,3,6,3,5,8,5,2,ML Engineer,21.04
BCA,3.1,1,3,5,2,2,10,6,6,3,3,4,6,2,Business Analyst,13.17
B.Tech,3.6,2,5,4,3,7,4,4,3,4,9,9,6,2,Network Engineer,14.93
B.Sc,1.8,4,4,4,1,10,8,2,4,5,10,7,5,1,Network Engineer,12.39
MBA,4.3,10,9,8,7,6,8,3,10,2,2,5,6,3,Data Scientist,21.04
BCA,0.0,4,4,9,1,3,8,5,10,2,5,2,0,0,Data Analyst,9.1
B.Tech,5.6,5,7,7,3,2,8,6,9,2,1,3,8,5,Data Analyst,17.71
B.Tech,4.3,7,7,7,2,9,6,2,3,4,9,9,6,2,Cloud Engineer,20.35
M.Tech,6.2,10,4,4,4,4,6,3,1,9,6,5,10,4,Embedded Systems Engineer,22.37
B.Tech,2.4,10,10,10,8,8,6,6,7,2,7,6,2,1,ML Engineer,18.66
BCA,2.0,6,5,1,2,2,8,3,1,10,4,7,3,3,Embedded Systems Engineer,13.2
Diploma,3.9,10,9,3,9,6,7,3,6,1,6,7,6,1,ML Engineer,19.36
M.Tech,2.6,6,4,3,3,7,7,7,4,5,7,9,3,1,Network Engineer,15.05
BCA,1.6,3,3,1,2,4,6,3,3,4,9,8,1,2,Network Engineer,13.7
B.Tech,4.8,8,8,8,7,5,7,5,5,3,4,5,9,2,Software Developer,21.25
BCA,1.8,8,6,3,1,9,7,5,4,5,8,6,5,3,Cloud Engineer,16.1
M.Tech,6.0,8,7,8,8,7,7,4,7,3,6,8,8,3,ML Engineer,24.09
B.Tech,1.8,10,7,7,2,4,7,3,6,2,4,4,6,1,Software Developer,12.79
B.Tech,0.0,4,2,6,1,1,8,7,8,1,1,4,3,0,Business Analyst,7.89
BCA,2.3,4,1,6,4,2,8,7,10,1,3,1,3,2,Business Analyst,14.69
M.Tech,1.0,6,7,4,2,10,5,5,4,2,9,10,2,0,Cloud Engineer,10.96
M.Tech,2.6,7,9,5,3,3,7,6,6,4,3,5,4,2,Software Developer,16.47
M.Tech,2.7,7,7,7,3,5,10,4,9,1,5,4,8,1,Data Analyst,15.9
B.Tech,4.2,8,9,8,2,8,4,3,6,3,5,7,6,2,Software Developer,16.72
B.Tech,5.8,5,3,6,1,8,6,3,3,5,10,10,13,3,Network Engineer,20.45
M.Tech,3.0,8,6,5,4,9,8,5,2,1,6,8,6,2,Cloud Engineer,18.47
MBA,2.9,10,8,9,10,8,8,5,4,2,7,6,5,1,ML Engineer,22.39
MBA,2.6,8,9,7,9,4,4,4,6,3,4,9,1,2,ML Engineer,18.83
B.Tech,6.1,8,8,7,7,6,5,5,6,2,5,2,10,3,Data Scientist,25.32
M.Tech,3.8,9,5,7,3,4,7,6,6,3,6,5,10,3,Software Developer,17.32
B.Tech,3.8,6,7,5,8,5,7,5,8,2,1,6,6,2,Data Scientist,20.88
B.Sc,4.6,2,5,8,5,1,8,10,5,1,2,2,9,2,Business Analyst,15.82
MBA,3.1,7,4,3,4,7,9,4,4,3,8,8,5,1,Cloud Engineer,15.51
Diploma,3.3,8,7,7,9,8,5,6,10,1,3,3,5,2,Data Scientist,18.64
B.Tech,3.9,5,4,6,1,9,7,5,4,5,10,10,6,3,Network Engineer,16.59
B.Tech,4.3,5,7,6,1,3,7,4,7,1,3,3,7,2,Data Analyst,17.33
M.Sc,2.0,9,10,7,5,6,7,4,7,1,4,4,4,4,Software Developer,13.97
M.Sc,0.4,9,5,6,10,6,6,5,10,2,4,4,6,0,Data Scientist,16.91
B.Tech,2.3,7,6,7,2,10,6,6,5,2,8,9,3,2,Cloud Engineer,15.16
B.Tech,3.8,8,9,5,9,6,7,8,6,4,4,8,4,3,ML Engineer,18.9
B.Tech,3.6,6,10,8,8,5,6,6,7,1,5,3,7,4,Data Scientist,19.61
B.Tech,1.3,5,5,7,5,3,6,5,9,1,5,3,5,2,Data Analyst,14.11
B.Tech,3.0,6,4,2,1,8,5,5,3,3,9,7,8,3,Network Engineer,16.56
MBA,2.0,3,4,7,3,1,10,8,8,4,2,2,3,2,Business Analyst,14.35
BCA,5.1,10,5,1,3,4,4,4,3,8,4,5,9,4,Embedded Systems Engineer,17.76
B.Sc,1.7,6,1,1,2,8,7,7,4,4,9,9,4,0,Network Engineer,11.79
B.Tech,3.8,4,8,5,10,8,9,6,6,2,4,6,6,1,ML Engineer,20.19
BCA,3.6,3,5,6,2,4,8,6,10,1,3,1,5,4,Business Analyst,16.0
B.Tech,1.2,8,7,6,3,10,7,7,2,2,8,8,3,2,Cloud Engineer,17.46
B.Sc,2.6,6,3,3,3,6,6,6,2,4,10,8,5,1,Network Engineer,14.55
M.Tech,1.1,8,8,10,3,3,5,4,10,4,1,3,3,0,Data Analyst,13.45
M.Tech,1.7,7,5,3,3,7,7,4,1,4,9,10,0,1,Cloud Engineer,14.13
M.Tech,5.8,4,2,6,1,3,8,8,8,2,5,2,10,5,Business Analyst,22.78
M.Tech,3.0,6,5,6,5,8,8,5,2,3,7,9,10,3,Cloud Engineer,19.89
B.Sc,3.0,10,5,1,2,4,6,3,3,9,4,3,4,3,Embedded Systems Engineer,14.93
BCA,3.4,8,6,8,5,2,6,4,10,1,1,3,6,3,Data Analyst,14.98
Diploma,2.8,5,5,2,3,6,6,3,1,3,9,7,7,1,Network Engineer,14.14
BCA,3.1,9,5,2,3,1,7,3,2,9,5,6,4,1,Embedded Systems Engineer,12.73
Diploma,1.9,9,10,3,9,10,6,4,7,2,5,7,3,3,ML Engineer,17.69
MBA,0.1,7,4,5,2,2,4,1,3,9,6,2,0,0,Embedded Systems Engineer,9.97
B.Tech,2.7,10,8,3,4,9,6,5,4,1,8,9,5,2,Cloud Engineer,16.16
M.Tech,5.0,8,5,6,2,4,7,6,7,4,4,3,7,3,Software Developer,17.76
B.Sc,2.6,7,7,8,8,4,5,5,7,3,4,5,5,2,ML Engineer,19.22
M.Tech,3.7,9,4,6,4,10,6,4,2,3,10,8,6,0,Cloud Engineer,20.49
MBA,1.4,6,4,4,3,8,8,6,3,5,10,9,5,2,Network Engineer,14.2
B.Tech,2.3,10,5,1,5,5,6,6,2,6,3,8,2,2,Embedded Systems Engineer,14.3
M.Tech,4.3,7,8,10,6,6,5,5,8,3,3,3,6,4,Data Scientist,22.01
M.Sc,3.1,8,7,4,2,3,6,5,8,4,4,5,4,2,Software Developer,15.33
B.Tech,4.6,7,9,8,10,7,8,5,7,2,5,4,8,2,Data Scientist,19.94
B.Sc,2.0,10,5,6,10,7,4,4,7,3,6,6,6,2,ML Engineer,19.0
B.Tech,0.6,5,7,9,1,5,9,1,10,3,3,2,4,1,Data Analyst,12.0
M.Tech,2.8,8,8,6,9,3,7,3,8,3,4,5,3,2,Data Scientist,19.46
B.Tech,2.6,5,3,6,4,2,10,8,6,4,1,3,2,2,Business Analyst,15.73
B.Tech,1.5,7,7,7,4,5,5,6,9,3,5,2,2,1,Data Analyst,11.05
M.Sc,2.0,10,6,7,10,9,5,3,6,1,7,9,4,3,ML Engineer,19.35
BCA,0.0,5,5,3,3,7,7,5,1,7,8,6,1,0,Network Engineer,9.58
MBA,4.3,10,9,5,10,9,7,3,7,3,4,9,7,0,ML Engineer,22.06
MBA,2.3,10,9,6,9,7,4,8,8,3,6,8,4,1,ML Engineer,19.8
B.Tech,2.4,7,6,7,7,6,5,6,9,2,4,5,4,1,Data Scientist,13.94
B.Tech,3.0,5,4,2,3,5,5,6,5,4,10,10,6,2,Network Engineer,14.21
BCA,2.6,7,8,7,9,6,5,4,10,1,5,5,5,2,Data Scientist,16.87
M.Sc,3.7,9,5,4,3,3,5,3,4,9,3,7,4,2,Embedded Systems Engineer,18.1
M.Sc,1.8,7,6,9,3,5,7,7,10,1,4,2,4,1,Data Analyst,12.18
B.Sc,1.3,7,7,1,1,2,4,4,2,8,6,7,4,2,Embedded Systems Engineer,12.49
M.Tech,0.0,5,3,2,2,7,6,7,1,5,9,10,2,0,Network Engineer,10.77
B.Tech,2.8,5,8,8,3,5,7,2,5,4,2,5,3,2,Software Developer,14.17
B.Tech,3.0,5,8,8,7,4,7,3,7,4,4,6,6,1,Data Scientist,17.62
M.Sc,2.2,10,6,8,4,6,9,5,4,3,3,8,4,1,Software Developer,15.55
B.Tech,3.7,9,9,9,10,6,9,5,7,1,3,9,9,2,ML Engineer,19.24
M.Sc,3.3,9,7,9,7,6,7,1,8,2,3,1,7,2,Data Scientist,20.11
B.Tech,3.7,6,5,7,3,2,6,5,10,2,3,2,8,2,Data Analyst,15.0
B.Sc,5.1,10,9,4,10,10,7,5,7,2,7,7,10,3,ML Engineer,23.15
BCA,1.1,9,8,4,3,3,6,4,5,1,5,3,3,3,Software Developer,11.37
M.Tech,1.8,5,8,6,2,6,4,4,5,4,8,8,4,1,Cloud Engineer,15.63
B.Tech,1.7,10,9,5,5,5,6,4,3,5,4,6,4,3,Software Developer,14.45
MBA,2.7,10,1,2,2,3,6,3,5,9,4,7,5,4,Embedded Systems Engineer,16.4
M.Tech,3.2,8,7,7,4,7,7,4,7,4,2,6,6,2,Software Developer,19.58
B.Sc,4.6,8,7,3,3,6,7,3,5,2,3,2,8,4,Software Developer,15.97
B.Tech,3.4,9,10,8,10,4,4,3,9,1,2,3,4,0,Data Scientist,17.94
M.Tech,4.3,6,4,2,2,6,6,5,3,5,9,8,8,2,Network Engineer,19.1
B.Tech,4.6,8,8,9,8,10,7,5,8,7,4,5,6,2,ML Engineer,19.25
B.Tech,3.0,10,6,7,4,4,6,3,6,4,3,5,7,2,Software Developer,18.4
